request,rtt_ms,db_latency_ms,non_db_delay_ms
227,5.03,0.18,4.85
228,7.54,0.28,7.26
229,6.14,0.17,5.97
230,5.18,0.14,5.04
231,7.78,0.24,7.54
232,6.82,0.38,6.44
233,6.21,0.46,5.75
234,6.52,0.24,6.28
235,3.92,0.14,3.78
236,6.31,0.15,6.16
237,3.32,0.13,3.19
238,2.77,0.11,2.66
239,5.2,0.3,4.9
240,4.16,0.35,3.81
241,4.06,0.26,3.8
242,4.45,0.33,4.12
243,11.48,0.51,10.97
244,8.69,0.35,8.34
245,3.63,0.17,3.46
246,4.6,0.32,4.28
247,7.47,0.54,6.93
248,10.92,2.38,8.54
249,9.47,0.41,9.06
250,7.68,0.4,7.28
251,7.11,1.02,6.09
252,6.76,0.52,6.24
253,7.96,0.28,7.68
254,4.65,0.32,4.33
255,4.53,0.26,4.27
256,4.3,0.51,3.79
257,4.13,0.28,3.85
258,6.82,0.26,6.56
259,12.34,0.79,11.55
260,4.3,0.13,4.17
261,4.57,0.5,4.07
262,4.21,0.16,4.05
263,6.55,0.22,6.33
264,4.68,0.14,4.54
265,10.77,0.26,10.51
266,5.11,0.26,4.85
267,3.84,0.13,3.71
268,7.68,0.28,7.4
269,7.11,0.37,6.74
270,9.26,0.47,8.79
271,5.12,0.19,4.93
272,4.06,0.17,3.89
273,4.06,0.12,3.94
274,4.9,0.19,4.71
275,6.29,0.26,6.03
276,8.66,0.43,8.23
277,5.82,0.41,5.41
278,4.61,0.17,4.44
279,2.94,0.13,2.81
280,2.82,0.14,2.68
281,3.51,0.13,3.38
282,5.49,0.21,5.28
283,6.17,0.27,5.9
284,5.6,0.17,5.43
285,5.58,0.16,5.42
286,4.98,0.17,4.81
287,4.5,0.19,4.31
288,5.02,0.19,4.83
289,8.96,0.54,8.42
290,6.62,0.32,6.3
291,3.69,0.14,3.55
292,6.18,0.38,5.8
293,7.97,0.29,7.68
294,6.26,0.23,6.03
295,7.59,0.43,7.16
296,6.24,0.21,6.03
297,5.38,0.21,5.17
298,5.07,0.13,4.94
299,3.43,0.17,3.26
300,3.38,0.15,3.23
301,6.21,0.23,5.98
302,9.48,0.36,9.12
303,6.76,0.21,6.55
304,5.85,0.2,5.65
305,4.25,0.21,4.04
306,3.38,0.14,3.24
307,4.14,0.19,3.95
308,7.47,0.3,7.17
309,10.9,0.65,10.25
310,4.63,0.18,4.45
311,5.13,0.18,4.95
312,6.39,0.27,6.12
313,4.73,0.15,4.58
314,5.84,0.21,5.63
315,6.17,0.33,5.84
316,7.49,0.31,7.18
317,5.52,0.27,5.25
318,5.27,0.24,5.03
319,6.13,0.24,5.89
320,7.66,0.32,7.34
321,5.03,0.19,4.84
322,5.77,0.21,5.56
323,5.5,0.22,5.28
324,4.51,0.17,4.34
325,7.33,0.24,7.09
326,10.54,0.5,10.04
327,6.83,0.2,6.63
328,3.38,0.13,3.25
329,4.72,0.29,4.43
330,6.96,0.28,6.68
331,6.37,0.22,6.15
332,3.22,0.18,3.04
333,2.67,0.12,2.55
334,4.29,0.22,4.07
335,5.79,0.33,5.46
336,3.97,0.27,3.7
337,3.03,0.16,2.87
338,6.01,0.17,5.84
339,7.02,0.36,6.66
340,6.23,0.15,6.08
341,5.27,0.19,5.08
342,6.3,0.45,5.85
343,5.23,0.25,4.98
344,5.46,0.18,5.28
345,3.61,0.14,3.47
346,4.55,0.2,4.35
347,3.91,0.16,3.75
348,4.1,0.23,3.87
349,3.61,0.13,3.48
350,8.28,0.27,8.01
351,9.01,0.21,8.8
352,6.36,0.47,5.89
353,5.47,0.2,5.27
354,3.43,0.12,3.31
355,5.17,0.22,4.95
356,8.18,0.27,7.91
